"COMP_LEVEL";"VALUEDATE";"MESS_ID";"VALUE";"STATE_VAL";"STATE_ACQ";"STATE_COR";"ENTRYDATE";"MIN";"MINDATE";"MAX";"MAXDATE";"AVG";"SUM";"PVALUE";"OFFSET";"VERSION";"TEXT"
"2100";"01.01.2022 23:00:00";"180974";"913.408";"50";"0";"0";"08.03.2022 14:24:12";"913.408";"01.01.2022 23:00:00";"913.408";"01.01.2022 23:00:00";"913.408";"913.408";"38.0586666666667";"1";"01.01.0001 00:00:00";""
"2100";"02.01.2022 23:00:00";"180974";"913.408";"50";"0";"0";"08.03.2022 14:24:12";"913.408";"02.01.2022 23:00:00";"913.408";"02.01.2022 23:00:00";"913.408";"913.408";"38.0586666666667";"1";"01.01.0001 00:00:00";""
"2100";"03.01.2022 23:00:00";"180974";"913.408";"50";"0";"0";"08.03.2022 14:24:12";"913.408";"03.01.2022 23:00:00";"913.408";"03.01.2022 23:00:00";"913.408";"913.408";"38.0586666666667";"1";"01.01.0001 00:00:00";""
"2100";"04.01.2022 23:00:00";"180974";"913.408";"50";"0";"0";"08.03.2022 14:24:12";"913.408";"04.01.2022 23:00:00";"913.408";"04.01.2022 23:00:00";"913.408";"913.408";"38.0586666666667";"1";"01.01.0001 00:00:00";""
"2100";"05.01.2022 23:00:00";"180974";"913.408";"50";"0";"0";"08.03.2022 14:24:12";"913.408";"05.01.2022 23:00:00";"913.408";"05.01.2022 23:00:00";"913.408";"913.408";"38.0586666666667";"1";"01.01.0001 00:00:00";""
"2100";"06.01.2022 23:00:00";"180974";"913.408";"50";"0";"0";"08.03.2022 14:24:12";"913.408";"06.01.2022 23:00:00";"913.408";"06.01.2022 23:00:00";"913.408";"913.408";"38.0586666666667";"1";"01.01.0001 00:00:00";""
"2100";"07.01.2022 23:00:00";"180974";"913.408";"50";"0";"0";"08.03.2022 14:24:12";"913.408";"07.01.2022 23:00:00";"913.408";"07.01.2022 23:00:00";"913.408";"913.408";"38.0586666666667";"1";"01.01.0001 00:00:00";""
"2100";"08.01.2022 23:00:00";"180974";"913.408";"50";"0";"0";"08.03.2022 14:24:12";"913.408";"08.01.2022 23:00:00";"913.408";"08.01.2022 23:00:00";"913.408";"913.408";"38.0586666666667";"1";"01.01.0001 00:00:00";""
"2100";"09.01.2022 23:00:00";"180974";"913.408";"50";"0";"0";"08.03.2022 14:24:12";"913.408";"09.01.2022 23:00:00";"913.408";"09.01.2022 23:00:00";"913.408";"913.408";"38.0586666666667";"1";"01.01.0001 00:00:00";""
"2100";"10.01.2022 23:00:00";"180974";"913.408";"50";"0";"0";"08.03.2022 14:24:12";"913.408";"10.01.2022 23:00:00";"913.408";"10.01.2022 23:00:00";"913.408";"913.408";"38.0586666666667";"1";"01.01.0001 00:00:00";""
"2100";"11.01.2022 23:00:00";"180974";"913.408";"50";"0";"0";"08.03.2022 14:24:12";"913.408";"11.01.2022 23:00:00";"913.408";"11.01.2022 23:00:00";"913.408";"913.408";"38.0586666666667";"1";"01.01.0001 00:00:00";""
"2100";"12.01.2022 23:00:00";"180974";"1091.84";"50";"0";"0";"12.01.2022 23:36:14";"1091.84";"12.01.2022 23:00:00";"1091.84";"12.01.2022 23:00:00";"1091.84";"1091.84";"45.4933333333333";"1";"01.01.0001 00:00:00";""
"2100";"13.01.2022 23:00:00";"180974";"1051.136";"50";"0";"0";"13.01.2022 23:38:06";"1051.136";"13.01.2022 23:00:00";"1051.136";"13.01.2022 23:00:00";"1051.136";"1051.136";"43.7973333333333";"1";"01.01.0001 00:00:00";""
"2100";"14.01.2022 23:00:00";"180974";"1072.896";"50";"0";"0";"14.01.2022 23:36:16";"1072.896";"14.01.2022 23:00:00";"1072.896";"14.01.2022 23:00:00";"1072.896";"1072.896";"44.704";"1";"01.01.0001 00:00:00";""
"2100";"15.01.2022 23:00:00";"180974";"1039.104";"50";"0";"0";"15.01.2022 23:35:46";"1039.104";"15.01.2022 23:00:00";"1039.104";"15.01.2022 23:00:00";"1039.104";"1039.104";"43.296";"1";"01.01.0001 00:00:00";""
"2100";"16.01.2022 23:00:00";"180974";"1204.992";"50";"0";"0";"16.01.2022 23:36:04";"1204.992";"16.01.2022 23:00:00";"1204.992";"16.01.2022 23:00:00";"1204.992";"1204.992";"50.208";"1";"01.01.0001 00:00:00";""
"2100";"17.01.2022 23:00:00";"180974";"1113.088";"50";"0";"0";"17.01.2022 23:36:09";"1113.088";"17.01.2022 23:00:00";"1113.088";"17.01.2022 23:00:00";"1113.088";"1113.088";"46.3786666666667";"1";"01.01.0001 00:00:00";""
"2100";"18.01.2022 23:00:00";"180974";"1074.176";"50";"0";"0";"18.01.2022 23:35:42";"1074.176";"18.01.2022 23:00:00";"1074.176";"18.01.2022 23:00:00";"1074.176";"1074.176";"44.7573333333333";"1";"01.01.0001 00:00:00";""
"2100";"19.01.2022 23:00:00";"180974";"1267.2";"50";"0";"0";"19.01.2022 23:38:19";"1267.2";"19.01.2022 23:00:00";"1267.2";"19.01.2022 23:00:00";"1267.2";"1267.2";"52.8";"1";"01.01.0001 00:00:00";""
"2100";"20.01.2022 23:00:00";"180974";"1250.816";"50";"0";"0";"20.01.2022 23:35:41";"1250.816";"20.01.2022 23:00:00";"1250.816";"20.01.2022 23:00:00";"1250.816";"1250.816";"52.1173333333333";"1";"01.01.0001 00:00:00";""
"2100";"21.01.2022 23:00:00";"180974";"1271.04";"50";"0";"0";"21.01.2022 23:35:50";"1271.04";"21.01.2022 23:00:00";"1271.04";"21.01.2022 23:00:00";"1271.04";"1271.04";"52.96";"1";"01.01.0001 00:00:00";""
"2100";"22.01.2022 23:00:00";"180974";"1225.216";"50";"0";"0";"22.01.2022 23:35:45";"1225.216";"22.01.2022 23:00:00";"1225.216";"22.01.2022 23:00:00";"1225.216";"1225.216";"51.0506666666667";"1";"01.01.0001 00:00:00";""
"2100";"23.01.2022 23:00:00";"180974";"1200.128";"50";"0";"0";"23.01.2022 23:35:55";"1200.128";"23.01.2022 23:00:00";"1200.128";"23.01.2022 23:00:00";"1200.128";"1200.128";"50.0053333333333";"1";"01.01.0001 00:00:00";""
"2100";"24.01.2022 23:00:00";"180974";"1015.04";"50";"0";"0";"24.01.2022 23:35:29";"1015.04";"24.01.2022 23:00:00";"1015.04";"24.01.2022 23:00:00";"1015.04";"1015.04";"42.2933333333333";"1";"01.01.0001 00:00:00";""
